City,Date,Holiday,Weather,Flavor,Weight
AMIRIM,15/02/2021,FALSE,veryCold,oreo,very low
AZOR,15/02/2021,FALSE,veryCold,vanilla,very low
ALUMMOT,15/02/2021,FALSE,veryCold,vanilla,very low
ATERET,15/02/2021,FALSE,veryCold,strawberry,very low
AMQA,16/02/2021,FALSE,veryCold,vanilla,very low
ANIAM,16/02/2021,FALSE,veryCold,strawberry,very low
AMQA,16/02/2021,FALSE,veryCold,berries,very low
AMIRIM,16/02/2021,FALSE,veryCold,vanilla,very low
ALMA,16/02/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,16/02/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,16/02/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,16/02/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,16/02/2021,FALSE,veryCold,vanilla,very low
ABU QUREINAT,17/02/2021,FALSE,veryCold,chocolate,very low
ASHDOD,17/02/2021,FALSE,veryCold,berries,very low
ANIAM,17/02/2021,FALSE,veryCold,oreo,very low
AMMIAD,17/02/2021,FALSE,veryCold,chocolate,very low
AMIRIM,17/02/2021,FALSE,veryCold,berries,very low
ATERET,17/02/2021,FALSE,veryCold,strawberry,very low
ANIAM,18/02/2021,FALSE,veryCold,vanilla,low
ATERET,18/02/2021,FALSE,veryCold,strawberry,low
ADAMIT,18/02/2021,FALSE,veryCold,berries,low
ALMAGOR,18/02/2021,FALSE,veryCold,vanilla,low
BAR GIYYORA,18/02/2021,FALSE,veryCold,berries,low
ALUMMOT,19/02/2021,FALSE,veryCold,chocolate,low
AMIRIM,19/02/2021,FALSE,veryCold,oreo,low
ANIAM,19/02/2021,FALSE,veryCold,berries,low
BALFURYA,19/02/2021,FALSE,veryCold,strawberry,low
ASHDOD,19/02/2021,FALSE,veryCold,strawberry,low
BAR GIYYORA,19/02/2021,FALSE,veryCold,oreo,low
BAR YOHAY,19/02/2021,FALSE,veryCold,oreo,low
AMIRIM,19/02/2021,FALSE,veryCold,oreo,low
ASHDOD,19/02/2021,FALSE,veryCold,vanilla,low
AMIRIM,20/02/2021,FALSE,veryCold,oreo,low
ALMAGOR,20/02/2021,FALSE,veryCold,berries,low
ANIAM,20/02/2021,FALSE,veryCold,chocolate,low
AHUZZAM,20/02/2021,FALSE,veryCold,chocolate,low
ABU QUREINAT,20/02/2021,FALSE,veryCold,strawberry,low
AHUZZAM,20/02/2021,FALSE,veryCold,oreo,low
ASHDOD,20/02/2021,FALSE,veryCold,berries,low
ABU QUREINAT,21/02/2021,FALSE,veryCold,berries,very low
AZARYA,21/02/2021,FALSE,veryCold,berries,very low
ANIAM,21/02/2021,FALSE,veryCold,berries,very low
ALUMMOT,21/02/2021,FALSE,veryCold,strawberry,very low
ADDIRIM,21/02/2021,FALSE,veryCold,berries,very low
AHUZZAM,21/02/2021,FALSE,veryCold,strawberry,very low
BALFURYA,21/02/2021,FALSE,veryCold,oreo,very low
ALMA,21/02/2021,FALSE,veryCold,oreo,very low
AVIHAYIL,21/02/2021,FALSE,veryCold,berries,very low
ANIAM,21/02/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,21/02/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,21/02/2021,FALSE,veryCold,vanilla,very low
AHUZZAM,21/02/2021,FALSE,veryCold,berries,very low
AKKO,22/02/2021,FALSE,veryCold,strawberry,very low
AMMIAD,22/02/2021,FALSE,veryCold,oreo,very low
BAR GIYYORA,22/02/2021,FALSE,veryCold,berries,very low
ALUMMOT,22/02/2021,FALSE,veryCold,oreo,very low
AVITAL,22/02/2021,FALSE,veryCold,strawberry,very low
AMMIAD,22/02/2021,FALSE,veryCold,chocolate,very low
BAR GIYYORA,22/02/2021,FALSE,veryCold,vanilla,very low
ATERET,23/02/2021,FALSE,veryCold,oreo,very low
AMIR,23/02/2021,FALSE,veryCold,berries,very low
ARGAMAN,23/02/2021,FALSE,veryCold,chocolate,very low
AMMIAD,23/02/2021,FALSE,veryCold,chocolate,very low
ALMAGOR,23/02/2021,FALSE,veryCold,chocolate,very low
ABU QUREINAT,23/02/2021,FALSE,veryCold,oreo,very low
ABU QUREINAT,23/02/2021,FALSE,veryCold,chocolate,very low
ATERET,23/02/2021,FALSE,veryCold,vanilla,very low
ARBEL,23/02/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,23/02/2021,FALSE,veryCold,chocolate,very low
ALMAGOR,24/02/2021,FALSE,veryCold,vanilla,very low
ASHDOD,24/02/2021,FALSE,veryCold,chocolate,very low
ASHDOD,24/02/2021,FALSE,veryCold,berries,very low
ATERET,25/02/2021,TRUE,veryCold,oreo,moderate
ATERET,25/02/2021,FALSE,veryCold,vanilla,low
BAR GIYYORA,25/02/2021,TRUE,veryCold,berries,moderate
AZOR,25/02/2021,TRUE,veryCold,chocolate,moderate
ATSMON SEGEV,25/02/2021,TRUE,veryCold,oreo,moderate
AMMIAD,25/02/2021,TRUE,veryCold,oreo,moderate
ALLONIM,25/02/2021,TRUE,veryCold,strawberry,moderate
ARBEL,25/02/2021,TRUE,veryCold,chocolate,moderate
AMIRIM,25/02/2021,TRUE,veryCold,strawberry,moderate
AMMIAD,25/02/2021,TRUE,veryCold,vanilla,moderate
AVENAT,25/02/2021,TRUE,veryCold,strawberry,moderate
ARGAMAN,25/02/2021,TRUE,veryCold,vanilla,moderate
AMIRIM,25/02/2021,TRUE,veryCold,strawberry,moderate
AVNE HEFEZ,25/02/2021,TRUE,veryCold,berries,moderate
ALUMMOT,25/02/2021,TRUE,veryCold,vanilla,moderate
ALUMMOT,25/02/2021,TRUE,veryCold,berries,moderate
ABU QUREINAT,25/02/2021,TRUE,veryCold,chocolate,moderate
ATERET,25/02/2021,TRUE,veryCold,chocolate,moderate
AFIQIM,25/02/2021,TRUE,veryCold,oreo,moderate
BAHAN,25/02/2021,FALSE,veryCold,berries,low
ABU QUREINAT,25/02/2021,FALSE,veryCold,oreo,low
ASHDOD,25/02/2021,TRUE,veryCold,chocolate,moderate
